result,result1,result2,result3
さとう(satou) , sugar,さとうをいれる , To add sugar
さむい(samui) , cold (weather),きょうはさむいですね ," It’s cold today, right?"
さらいねん(sarainen) , year after next,私はさらいねん、日本に行きます , I will go to Japan the year after next
～さん(san) ," Mr., Mrs., Miss, Ms",,
さん(san) , 3,,
さんぽ（する）(sanpo(suru)) ," walk, stroll",さんぽに行く , To go for a walk
し(shi) , 4,,
～じ(ji) ," hour, o’clock",けさ 6 じ におきました , I got up at 6 o’clock this morning
しお(shio) , salt,しおをいれる , To add salt
しかし(shikashi) ," however, but",ふゆはさむいです。しかし、私はふゆが好きです , It’s cold in winter
じかん(jikan) , time,じかんがかかります , This will take some time
～じかん(jikan) , ~ hour,いちにちに 8 じかんはたらきます , I work 8 hours a day
しごと(shigoto) ," work, job",しごとをやめたいです , I want to quit my job
じしょ(jisho) , dictionary,じしょをひきます , Look up dictionary
しずか(shizuka) , quiet,ここはしずかです , It’s quiet here
した(shita) ," below, down",したを見る , To look down
しち(shichi) , 7,,
しつもん(shitsumon) , question,しつもんがあります , I have a question
じてんしゃ(jitensha) , bicycle,じてんしゃをのる , To ride a bicycle
じどうしゃ(jidousha) , automobile,じどうしゃをかいました , I bought an automobile
しぬ(shinu) ," to die, to pass away",びょうきでしぬ , Die of a disease
じびき(jibiki) , dictionary,じびきをひく , Look up dictionary
じぶん(jibun) ," myself, yourself, oneself",じぶんのことはじぶんでやります , I do my own things
しまる(shimaru) ," to be shut, to be closed, to close",ドアがしまる , The door closes
しめる(shimeru) ," to close, to shut",まどをしめる , To close the window
しめる(shimeru) ," to tie, to wear (necktie)",ネクタイをしめる , To tie a necktie
じゃ/じゃあ(jya/jyaa) ," then, well, so",じゃあ日本に行きますか , So will you go to Japan?
しゃしん(shashin) ," photograph, picture",しゃしんをとります , I take a picture
シャツ(shatsu) , shirt,シャツをきる , To wear a shirt
シャワー(shawaa) , shower,シャワーをあびる , To take a shower
じゅう(jyu) , 10,,
じゅぎょう(jyuggyou) , lesson,じゅぎょうがおわりました , The lesson is over
しゅくだい(shyukudai) , homework,しゅくだいをだします , I submit the homework
じょうず(jyouzu) , good (at),彼はりょうりがじょうずです , He is good at cooking
じょうぶ(jyoubu) ," strong, robust",じょうぶな体 , A strong body
しょうゆ(shyouyu) , soy sauce,しょうゆをかけます , Put soy sauce on something
しょくどう(shyokudou) ," dining room, dining hall",しょくどうでひるごはんを食べます , I will eat lunch in the dinning room
しる(shiru) , to know,だれもしることができません , No one can know it
しろ(shiro) , white (noun),しろざとう , White sugar
しろい(shiroi) , white (adjective),しろいふくが好きです , I like white clothes
しんぶん(shinbun) , newspaper,まいあさしんぶんをよみます , I read newspaper every morning
すいようび(suiyoubi) , Wednesday,きょうはすいようびです , Today is Wednesday
すう(suu) , to smoke,たばこをすいません , I don’t smoke
スカート(sukaato) , skirt,スカートをはく , To wear a skirt
すき(suki) ," liked, interested (in)",私はねこが好きです , I like cats
すくない(sukunai) ," few, a little",ここは人がすくないですね , There are few people here
すぐに(suguni) ," immediately, right away",すぐに行きます , I will go immediately
すこし(sukoshi) ," small quantity, little",すこしねます , I will sleep a little
すずしい(suzushii) , cool,ここはとてもすずしいです , It’s very cool here
～ずつ(zutsu) ," apiece, each",すこしずつ , Little by little
ストーブ (sutoobu) , stove,ストーブをつける , To turn on the stove
スプーン (supuun) , spoon,スプーンで食べる , To eat with spoon
スポーツ (supooshi) , sport,スポーツが好きです , I like sports
ズボン (zubon) ," trousers, pants",ズボンをはく , Wear pants
すむ (sumu) ," to live, to reside",いなかにすむ , To live in the countryside
スリッパ (surippa) , slippers,スリッパをはきます , Put on slippers
する (suru) , to do,しゅくだいをする , To do homework
すわる (suwaru) , to sit,いすにすわる , To sit on a chair
せ (se) , back,せをむける , To turn one’s back on / To pretend not to see
せいと (seito) , student,私はせいとです , I’m a student
セーター (seetaa) , sweater,セーターをきる , Wear a sweater
せっけん (sekken) , soap,せっけんをつかいます , I use soap
せびろ (sebiro) , business suit,せびろをきます , I wear a business suit
せまい (semai) ," narrow, small",私のいえはせまいです , My house is small
ゼロ (zero) , zero,,
せん (sen) , 1000,,
せんげつ (sengetsu) ,  last month,せんげつこの本をかいました , I bought this book last month
せんしゅう (senshyuu) , last week,せんしゅうこうえんに行きました , I went to the park last week
せんせい (sensei) , teacher,私はせんせいです , I’m a teacher
せんたく (sentaku) ," washing, laundry",せんたくをします , Do the laundry
ぜんぶ (zenbu) ," all, whole",ぜんぶ食べます , I will eat everything
そうじ（する）(souzi)/ (suru) , cleaning,私はへやのそうじをします , I will clean the room
そうして/そして (soushite/ soshite) , and,そしていえにかえりました , And I went home
そこ (soko) ," there, that place",そこはふゆです , It’s winter there
そちら (sochira) ," there (place distant from the speaker, close to the listener)",そちらに行きます , I will go there
そっち (socchi) ," there (place distant from the speaker, close to the listener)",すぐにそっちに行きます , I will go there immediately
そと (soto) , outside,そとはさむいです , It’s cold outside
その (sono) ," that (something or someone distant from the speaker, close to the listener)",そのえいがはおもしろいです , That movie is interesting
そば (soba) ," near, close, beside",彼は私のそばにすわりました , He sat beside me
そら (sora) , sky,そらをとぶ , To fly in the sky
それ (sore) , that (indicating an item near the listener),それはなんですか , What’s that?
それから (sorekara) ," and then, after that",私はそれからかいものに行きます , I will go shopping after that
それでは (soredewa) , well then,それでは、はじめましょう ," Well then, let’s start"
だいがく (daigaku) , university,だいがくにはいりたいです , I want to enter into the university
たいしかん (taishikan) , embassy,たいしかんへ行きました ,  I went to the embassy
だいじょうぶ (daijoubu) , all right,だいじょうぶですか , Are you all right?
だいすき (daisuki) ,  like very much,私は彼がだいすきです , I like him very much
たいせつ (taisetsu) , important,おかねがたいせつです , Money is important
だいどころ (daidokoro) , kitchen,私はだいどころでおさらをあらいます , I wash dishes in the kitchen
たいへん (taihen) , very,きょうはたいへんあついです, It is very hot today
たいへん (taihen) ," difficult, hard",しごとはたいへんですか,Is the work difficult?
たかい (takai) ," high, tall",あのやまはたかいです,That mountain is high
たかい (takai) , expensive,この本はたかいです , This book is expensive
～だけ (dake) ," only, just, no more than",それだけです , That’s all
たくさん (takusan) ," many, a lot",たくさんみずを飲みます, Drink a lot of water
タクシー (takushii) , Taxi,タクシーをよぶ , To hail a taxi
だす (dasu) ," to take out, to publish",本をだす ,To bring out a book
たつ (tatsu) , to stand,あめのなかにたつ , To stand in the rain
たて (tate) ," the vertical, height",,
たてもの (tatemono) , building,あのたてものはおおきいです , That building is big
たのしい (tanoshii) , fun,そのえいがはたのしいですね,"That movie is fun, isn’t it?"
たのむ (tanomu) ," to ask, to request, to beg",人をたのむ , To ask people
たばこ (tabako) ," tobacco, cigarette",たばこをすいますか , Do you smoke?
たぶん (tabun) ," perhaps, probably",たぶんあめがふるだろう, Perhaps it will rain
たべもの (tabemuno) , food,あなたはどこでたべものをかいますか , Where do you buy food?
たべる (taberu) , to eat,おかしをたべます , Eat sweets
たまご (tamago) , eggs,私はたまごをやきます , I fry eggs
だれ (dare) , who,あの人はだれですか , Who is that person?
だれか (dareka) ," someone, somebody",だれか彼をしっていますか , Does anyone know him?
たんじょうび (tanzyoubi) , birthday,たんじょうびはいつですか , When is your birthday?
だんだん (dandan) , gradually,だんだんくらくなっていました , It was getting dark
ちいさい (chiisai) ," small, little",そのいぬはちいさいです , That dog is small
ちいさな (chiisana) ," small, little",ちいさな人 , A small person
ちかい (chikai) ," near, close",ここはえきからちかいです , This place is near the station
ちがう (chigau) ," to differ (from), to be different",私と彼はちがいます , He and I are different
ちかく (chikaku) ," near, neighbourhood",私はちかくにすんでいます , I live nearby
ちかてつ (chikatetsu) , subway,ちかてつで行く , To go by subway
ちず (chizu) , map,ちずをかく , To draw a map
ちち (chichi) , father,ちちはげんきです , My father is in good health
ちゃいろ (chyoir0) , light brown (noun),ちゃいろのシャツをきます , I wear a light brown shirt
ちゃわん (chyawan) , rice bowl,ちゃわんをこわす , To break the rice bowl
～ちゅう (chyuu) , during (a certain time when one did or is doing something),しごとちゅう , In the midst of work
ちょうど (choudo) ," just, right",いまちょうどおきました , I just woke up
ちょっと (ch0tto) ," just a minute, for a moment",ちょっとまってください , Please wait a minute
ついたち (tsuitachi) , first day of the month,,
つかう (tsukau) , to use,ナイフをつかう , To use a knife
つかれる(tsukareru) , to get tired,私はとてもつかれました , I am very tired
つぎ (tsugi) ," next, following",つぎはだれですか , Who’s next?
つく (tsuku) ," to arrive at, to reach",,
つくえ (tsukue) , desk,つくえのうえに本があります , There’s a book on the desk
つくる (tsukuru) , to make,りょうりをつくります , I am going to make food
つける (tsukeru) , to turn on (light),でんきをつける , To turn on the (electric) light
つとめる (tsutomeru) , to work (for),かいしゃにつとめる , To work for the company
つまらない (tsumaranai) , boring,この本はつまらないです , This book is boring
つめたい (tsumetai) , cold (to the touch),つめたいのみものをのみます , I drink cold drinks
つよい (tsuyoi) , strong,あなたはつよいです , You are strong
て (te) , hand,てをあげる , To raise one’s hand
テープ (teepu) , tape,テープをかいます , I buy a tape
テープレコーダー (teepurekoodaa) , tape recorder,テープレコーダーをかける , To play a tape recorder
テーブル (teepuru) , table,テーブルにさらをおきます , Set plates on a table
でかける (dekakeru) , to go out,私はまいあささんぽにでかける , I go out for a walk every morning
てがみ (tegami) , letter,てがみをかきます , I write a letter
できる (dekiru) , to be able,私はおよぐことができます , I can swim
でぐち (deguchi) ," exit, way out",でぐちがわかりません , I can’t find my way out
テスト (tesuto) , test,テストをうける , To take a test
では (dewa) ," then, well",でははじめましょう ," Well, let’s start"
デパート (depaato) , department store,私はデパートでふくをかいました , I bought clothes from the department store
でも (demo) ," but, however",私はちょっとつかれました、でもだいじょうぶです ," I’m a little tired, but I’m OK"
でる (deru) , to appear,彼はよくテレビにでる , He often appears on TV
テレビ (terebi) ," television, TV",テレビを見ます , I watch TV
てんき (tenki) , weather,きょうはてんきがわるいですね ," It’s horrible weather today, isn’t it?"
でんき (denki) , (electric) lightでんきをけす ,,
でんしゃ (denshya) ," train, electric train",私はきょうはここまででんしゃできました , I came here by train today
でんわ (denwa) , phone,でんわをかける , To make a call
と (to) , door,とをあける , To open the door
～ど (do) ," ~ time, times",いちど , one time / にど 
ドア (doa) , door,ドアをあける , To open a door
トイレ (toire) , toilet,トイレはどこですか , Where is the toilet?
どう (dou) , how,,
どうして (doushite) , why,どうしてにほんごをべんきょうしますか , Why do you study Japanese?
どうぞ (douzo) , please,おさきにどうぞ , Please go ahead of me
どうぶつ (doubutsu) , animal,そのどうぶつをしりません , I don’t know that animal
どうも (doumo) ," thank you, thanks",ほんとうにどうも , Many thanks
とおい (tooi) , far,ここからそのえきまではとおいです, That station is far from here
とおか (tooka) , the tenth day of the month,,
～とき(toki) , when ~,ひまなとき、テレビを見ます , I watch TV when I’m free
